Rank,College Name,Location,Median SAT,Median ACT,Est. price 2019-20 without aid,Est. price 2019-20 with avg. grant,% of students who get any grants,Average student debt,Early career earnings
664,Georgia State University,Atlanta. GA,1130,23,27.200,16.400,0.71,22.210,49.400
665,Reed College,Portland. OR,1410,32,72.900,34.300,0.51,16.000,53.900
666,Pratt Institute-Main,Brooklyn. NY,1170,27,68.200,46.000,0.76,26.000,52.100
667,University of Alabama at Birmingham,Birmingham. AL,1180,25,27.300,18.200,0.61,21.830,47.800
668,Alverno College,Milwaukee. WI,NA,NA,42.200,19.200,0.92,31.000,45.100
669,Hampton University,Hampton. VA,1050,22,42.400,27.800,0.73,27.000,51.700
670,The New School,New York. NY,1210,26,72.600,48.700,0.86,24.530,52.100
671,University of the Incarnate Word,San Antonio. TX,1030,20,48.800,23.400,0.75,27.250,45.700
672,Arcadia University,Glenside. PA,1150,25,61.200,29.400,0.92,27.000,43.800
673,Keiser University-Ft Lauderdale,Fort Lauderdale. FL,NA,NA,42.000,28.500,0.84,25.700,44.000
673,Birmingham Southern College,Birmingham. AL,1150,26,54.700,25.500,0.99,26.050,47.900
675,Spring Arbor University,Spring Arbor. MI,1100,24,41.700,20.200,0.82,24.050,40.400
676,California College of the Arts,San Francisco. CA,NA,NA,68.000,40.800,0.73,27.000,56.600
677,University of Montana,Missoula. MT,1170,24,21.400,14.600,0.59,22.980,45.300
678,Gordon College,Wenham. MA,1170,26,52.200,33.000,0.98,27.000,47.800
679,Rollins College,Winter Park. FL,NA,NA,70.800,37.900,0.85,25.250,46.900
680,Toccoa Falls College,Toccoa Falls. GA,1040,21,37.800,21.800,0.6,24.610,38.200
681,Eastern Kentucky University,Richmond. KY,1050,23,24.100,13.500,0.8,23.130,44.800
682,Doane University-Arts & Sciences,Crete. NE,NA,23,48.800,26.100,0.99,23.860,47.100
683,University of Bridgeport,Bridgeport. CT,960,21,56.900,24.500,0.81,27.000,48.300
684,School of the Art Institute of Chicago,Chicago. IL,1230,26,70.300,48.800,0.89,26.980,45.700
685,Mercer University,Macon. GA,1260,28,53.600,22.700,0.91,25.500,48.300
686,Lock Haven University,Lock Haven. PA,1010,19,27.700,18.400,0.63,27.000,41.000
686,Oklahoma City University,Oklahoma City. OK,1200,26,47.400,29.100,0.87,21.800,46.200
688,Winthrop University,Rock Hill. SC,1090,22,29.400,18.100,0.8,27.000,43.200
689,Barton College,Wilson. NC,1050,21,47.500,25.100,0.97,26.000,42.400
690,Brenau University,Gainesville. GA,990,20,46.900,22.400,0.78,27.000,43.100
691,California Baptist University,Riverside. CA,1090,22,48.000,27.400,0.83,27.000,45.900
692,Morehouse College,Atlanta. GA,1060,21,50.900,32.600,0.76,26.000,54.800
693,Johnson & Wales University-Providence,Providence. RI,NA,NA,51.400,29.000,0.91,25.900,46.400
693,Hilbert College,Hamburg. NY,NA,NA,34.800,19.000,0.93,25.410,39.200
695,Indiana University of Pennsylvania,Indiana. PA,1020,20,28.500,20.500,0.67,27.000,45.900
696,Ringling College of Art and Design,Sarasota. FL,NA,NA,68.400,53.200,0.88,27.000,47.300
697,Western Kentucky University,Bowling Green. KY,1080,23,22.500,12.600,0.68,23.200,44.700
698,Husson University,Bangor. ME,1040,23,31.600,20.700,0.84,24.730,42.900
699,Maryland Institute College of Art,Baltimore. MD,1180,27,65.600,44.200,0.98,27.000,47.700
700,Upper Iowa University,Fayette. IA,950,21,46.200,25.100,0.61,23.000,43.900
701,Bowling Green State University,Bowling Green. OH,1110,22,25.700,19.100,0.69,26.000,46.100
